,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,year,Arson
35,Nogales,21132.0,59.0,1.0,1.0,3.0,54.0,611.0,111.0,433.0,67.0,2011,0.0
36,Oro Valley,41592.0,24.0,1.0,2.0,6.0,15.0,744.0,142.0,576.0,26.0,2011,3.0
38,Paradise Valley,13001.0,10.0,0.0,3.0,2.0,5.0,302.0,195.0,104.0,3.0,2011,0.0
39,Payson,15518.0,49.0,0.0,3.0,5.0,41.0,374.0,92.0,264.0,18.0,2011,0.0
40,Peoria,156246.0,301.0,2.0,35.0,56.0,208.0,4774.0,1088.0,3360.0,326.0,2011,6.0
41,Phoenix,1466097.0,8089.0,116.0,559.0,3324.0,4090.0,64479.0,18666.0,38258.0,7555.0,2011,273.0
44,Prescott,40407.0,171.0,4.0,12.0,13.0,142.0,1258.0,260.0,960.0,38.0,2011,6.0
45,Prescott,39372.0,113.0,3.0,6.0,6.0,98.0,780.0,120.0,635.0,25.0,2011,6.0
46,Sahuarita,25617.0,14.0,0.0,2.0,1.0,11.0,449.0,66.0,370.0,13.0,2011,8.0
47,Scottsdale,220462.0,400.0,4.0,34.0,125.0,237.0,6724.0,1424.0,5054.0,246.0,2011,25.0
48,Sedona,10173.0,26.0,0.0,2.0,0.0,24.0,175.0,38.0,134.0,3.0,2011,0.0
49,Show Low,10811.0,81.0,2.0,4.0,6.0,69.0,501.0,110.0,383.0,8.0,2011,5.0
50,Sierra Vista,44509.0,145.0,2.0,21.0,14.0,108.0,1326.0,167.0,1114.0,45.0,2011,9.0
52,Somerton,14489.0,12.0,0.0,0.0,4.0,8.0,186.0,32.0,137.0,17.0,2011,1.0
55,Surprise,119181.0,131.0,0.0,12.0,51.0,68.0,2598.0,617.0,1873.0,108.0,2011,22.0
56,Tempe,164008.0,787.0,5.0,45.0,237.0,500.0,8933.0,1579.0,6804.0,550.0,2011,28.0
60,Tucson,527479.0,3440.0,51.0,204.0,1163.0,2022.0,,4979.0,,2746.0,2011,167.0
66,Yuma,94381.0,490.0,4.0,33.0,66.0,387.0,3227.0,822.0,2196.0,209.0,2011,23.0
0,Apache Junction,36986.0,130.0,1.0,13.0,21.0,95.0,1025.0,236.0,719.0,70.0,2012,1.0
4,Buckeye,52213.0,54.0,3.0,1.0,11.0,39.0,1372.0,374.0,924.0,74.0,2012,1.0
5,Bullhead City,40277.0,86.0,5.0,0.0,26.0,55.0,1626.0,330.0,1195.0,101.0,2012,2.0
6,Camp Verde,11033.0,21.0,1.0,0.0,0.0,20.0,276.0,44.0,221.0,11.0,2012,4.0
7,Casa Grande,50132.0,211.0,3.0,4.0,46.0,158.0,2857.0,767.0,1934.0,156.0,2012,
8,Chandler,242721.0,628.0,4.0,64.0,149.0,411.0,6571.0,1147.0,5168.0,256.0,2012,78.0
