,City,Year,Total Population,Total Population Male,Total Population Female,Agg Travel to Wrk(min),Agg Travel to Wrk(min):Less than 10 min,Agg Travel to Wrk(min):10 to 14 min,Agg Travel to Wrk(min):15 to 19 min,Agg Travel to Wrk(min):20 to 24 min,Agg Travel to Wrk(min):25 to 29 min,Agg Travel to Wrk(min):30 to 34 min,Agg Travel to Wrk(min):35 to 44 min,Agg Travel to Wrk(min):45 to 59 min,Agg Travel to Wrk(min):60 or more min,Agg Travel to Wrk(min) Mode :Total,Agg Travel to Wrk(min) Mode :Car,Agg Travel to Wrk(min) Mode :Car alone,Agg Travel to Wrk(min) Mode :Car Carpool,Agg Travel to Wrk(min) Mode :Car Carpool 2P,Agg Travel to Wrk(min) Mode :Car Carpool 3P+,Agg Travel to Wrk(min) Mode :Pub Tran !=cab,Agg Travel to Wrk(min) Mode :Pub Tran !=cab Bus or trolley,"Agg Travel to Wrk(min) Mode :Pub Tran !=cab St/trolly car subway, elevated",Agg Travel to Wrk(min) Mode :Pub Tran !=cab RR ferry,Agg Travel to Wrk(min) Mode :Walked,"Agg Travel to Wrk(min) Mode :Taxicab, motor/bicycle, other",Pov Stat :Total,Pov Stat :Male,Pov Stat :Female,Income/Poverty level :Total,Income/Poverty level :Under .50,Income/Poverty level :.50 to .74,Income/Poverty level :.75 to .99,Income/Poverty level :1.00 to 1.24,Income/Poverty level :1.25 to 1.49,Income/Poverty level :1.50 to 1.74,Income/Poverty level :1.75 to 1.84,Income/Poverty level :1.85 to 1.99,Income/Poverty level :2.00 to 2.99,Income/Poverty level :3.00 to 3.99,Income/Poverty level :4.00 to 4.99,Income/Poverty level :5.00 and over,HI cover: TOTAL,HI cover: Male,HI cover: Female,Priv HI cover: Total,Priv HI cover: Male,Priv HI cover: Female,Pub HI cover: Total,Pub HI cover: Male,Pub HI cover: Female,Employer HI cover: Total,Employer HI cover: Male,Employer HI cover: Female,Direct HI cover: Total,Direct HI cover: Male,Direct HI cover: Female,Medicaid/Means-det Pub HI cover: Total,Medicaid/Means-det Pub HI cover: Male,Medicaid/Means-det Pub HI cover: Female
38,Goodyear city,2013,72862.0,31726.0,41136.0,745045.0,9600.0,35360.0,53135.0,78180.0,43130.0,141420.0,151035.0,117775.0,115410.0,,,,,,,,,,,,,68253.0,3549.0,3811.0,68253.0,1287.0,2803.0,3270.0,2245.0,1101.0,3864.0,163.0,1527.0,11007.0,11910.0,8291.0,20785.0,68981.0,30951.0,38030.0,68981.0,30951.0,38030.0,68981.0,30951.0,38030.0,68981.0,30951.0,38030.0,68981.0,30951.0,38030.0,68981.0,30951.0,38030.0
39,Mesa city,2013,457595.0,225463.0,232132.0,4845660.0,82860.0,253320.0,464200.0,639830.0,414780.0,1062340.0,533570.0,589440.0,805315.0,,,,,,,,,,,,,454312.0,36496.0,39114.0,454312.0,36856.0,18756.0,19998.0,26786.0,22043.0,26155.0,6868.0,13779.0,77409.0,72638.0,43855.0,89169.0,456197.0,224862.0,231335.0,456197.0,224862.0,231335.0,456197.0,224862.0,231335.0,456197.0,224862.0,231335.0,456197.0,224862.0,231335.0,456197.0,224862.0,231335.0
40,Peoria city,2013,162617.0,76476.0,86141.0,1794595.0,24020.0,68005.0,138695.0,228310.0,124270.0,340560.0,208650.0,327390.0,334690.0,1794595.0,1736745.0,1482400.0,254340.0,167435.0,86905.0,19340.0,19340.0,,,2135.0,36375.0,161059.0,7053.0,11489.0,161059.0,8409.0,5448.0,4685.0,6118.0,8941.0,7102.0,2931.0,5676.0,23310.0,23257.0,22159.0,43023.0,161385.0,75674.0,85711.0,161385.0,75674.0,85711.0,161385.0,75674.0,85711.0,161385.0,75674.0,85711.0,161385.0,75674.0,85711.0,161385.0,75674.0,85711.0
41,Phoenix city,2013,1513350.0,756150.0,757200.0,15784495.0,299745.0,866470.0,1519225.0,2158615.0,1215590.0,3512775.0,1626795.0,2163680.0,2421600.0,15784495.0,13795940.0,11666520.0,2129425.0,1615165.0,514260.0,1266810.0,1188720.0,43990.0,34100.0,170050.0,551695.0,1497409.0,163356.0,189947.0,1497409.0,168969.0,97272.0,87062.0,85793.0,94737.0,77944.0,36023.0,48729.0,242357.0,165038.0,121049.0,272436.0,1503705.0,748399.0,755306.0,1503705.0,748399.0,755306.0,1503705.0,748399.0,755306.0,1503705.0,748399.0,755306.0,1503705.0,748399.0,755306.0,1503705.0,748399.0,755306.0
42,San Tan Valley CDP,2013,93346.0,47157.0,46189.0,1399830.0,10185.0,10415.0,33855.0,55740.0,43050.0,147955.0,189040.0,486985.0,422605.0,,,,,,,,,,,,,93268.0,6649.0,7797.0,93268.0,4211.0,6940.0,3295.0,2207.0,7283.0,5993.0,1632.0,3583.0,18908.0,17499.0,8902.0,12815.0,93346.0,47157.0,46189.0,93346.0,47157.0,46189.0,93346.0,47157.0,46189.0,93346.0,47157.0,46189.0,93346.0,47157.0,46189.0,93346.0,47157.0,46189.0
43,Scottsdale city,2013,226909.0,112422.0,114487.0,2102230.0,78415.0,162540.0,262845.0,286020.0,224680.0,457900.0,189230.0,234270.0,206335.0,2102230.0,1922100.0,1777680.0,144420.0,121050.0,23370.0,64070.0,64070.0,,,19080.0,96980.0,225571.0,10913.0,10108.0,225571.0,12637.0,4871.0,3513.0,7066.0,8622.0,5991.0,2753.0,6407.0,29582.0,23614.0,21155.0,99360.0,225965.0,111972.0,113993.0,225965.0,111972.0,113993.0,225965.0,111972.0,113993.0,225965.0,111972.0,113993.0,225965.0,111972.0,113993.0,225965.0,111972.0,113993.0
44,Surprise city,2013,123569.0,57361.0,66208.0,1348815.0,18150.0,59710.0,62160.0,71080.0,52140.0,144930.0,245900.0,302365.0,392380.0,,,,,,,,,,,,,122730.0,5892.0,6970.0,122730.0,4660.0,2919.0,5283.0,3805.0,4822.0,5954.0,1435.0,2452.0,24504.0,23579.0,15124.0,28193.0,123014.0,56815.0,66199.0,123014.0,56815.0,66199.0,123014.0,56815.0,66199.0,123014.0,56815.0,66199.0,123014.0,56815.0,66199.0,123014.0,56815.0,66199.0
45,Tempe city,2013,168231.0,87787.0,80444.0,1782350.0,67180.0,171085.0,206375.0,322960.0,181325.0,308580.0,138065.0,161450.0,225330.0,,,,,,,,,,,,,157799.0,16942.0,17049.0,157799.0,18924.0,6349.0,8718.0,8112.0,6192.0,6244.0,2028.0,4967.0,32553.0,17257.0,10437.0,36018.0,167913.0,87594.0,80319.0,167913.0,87594.0,80319.0,167913.0,87594.0,80319.0,167913.0,87594.0,80319.0,167913.0,87594.0,80319.0,167913.0,87594.0,80319.0
46,Tucson city,2013,526141.0,260131.0,266010.0,4951455.0,123025.0,375165.0,655300.0,832035.0,393465.0,909150.0,375875.0,507730.0,779705.0,4951455.0,4105730.0,3468305.0,637430.0,459570.0,177860.0,443820.0,443820.0,,,101135.0,300765.0,503944.0,57043.0,70285.0,503944.0,63278.0,31031.0,33019.0,36486.0,34452.0,31039.0,12636.0,16319.0,92462.0,57742.0,30591.0,64889.0,511505.0,247271.0,264234.0,511505.0,247271.0,264234.0,511505.0,247271.0,264234.0,511505.0,247271.0,264234.0,511505.0,247271.0,264234.0,511505.0,247271.0,264234.0
47,Yuma city,2013,91915.0,49541.0,42374.0,588185.0,39635.0,94890.0,107795.0,91860.0,31100.0,113280.0,14015.0,21240.0,74370.0,,,,,,,,,,,,,87146.0,4037.0,5690.0,87146.0,3519.0,3016.0,3192.0,7455.0,7282.0,6891.0,1580.0,5096.0,20031.0,9648.0,8982.0,10454.0,86418.0,44247.0,42171.0,86418.0,44247.0,42171.0,86418.0,44247.0,42171.0,86418.0,44247.0,42171.0,86418.0,44247.0,42171.0,86418.0,44247.0,42171.0
48,Avondale city,2014,79621.0,40906.0,38715.0,909945.0,17630.0,40110.0,78355.0,134330.0,47770.0,146905.0,129605.0,129155.0,186085.0,909945.0,844045.0,665195.0,178845.0,121330.0,57520.0,43570.0,43570.0,,,4705.0,17630.0,79226.0,8261.0,7016.0,79226.0,6392.0,5434.0,3451.0,3346.0,3000.0,4396.0,1621.0,926.0,20131.0,11515.0,7859.0,11155.0,78956.0,40404.0,38552.0,78956.0,40404.0,38552.0,78956.0,40404.0,38552.0,78956.0,40404.0,38552.0,78956.0,40404.0,38552.0,78956.0,40404.0,38552.0
49,Casas Adobes CDP,2014,72867.0,34663.0,38204.0,746855.0,26360.0,44325.0,85035.0,80120.0,62400.0,173070.0,102345.0,108235.0,64965.0,746855.0,705800.0,657025.0,48775.0,39920.0,8855.0,21490.0,21490.0,,,8705.0,10860.0,71017.0,2398.0,2543.0,71017.0,2597.0,832.0,1512.0,3066.0,3167.0,3950.0,1147.0,192.0,15288.0,12633.0,8856.0,17777.0,71967.0,34112.0,37855.0,71967.0,34112.0,37855.0,71967.0,34112.0,37855.0,71967.0,34112.0,37855.0,71967.0,34112.0,37855.0,71967.0,34112.0,37855.0
50,Chandler city,2014,254275.0,126999.0,127276.0,2820745.0,72640.0,202225.0,358475.0,399475.0,189240.0,403800.0,365150.0,474530.0,355200.0,,,,,,,,,,,,,253016.0,12309.0,14079.0,253016.0,12386.0,6638.0,7364.0,7376.0,6208.0,10457.0,1643.0,5207.0,39479.0,38051.0,32578.0,85629.0,254109.0,126919.0,127190.0,254109.0,126919.0,127190.0,254109.0,126919.0,127190.0,254109.0,126919.0,127190.0,254109.0,126919.0,127190.0,254109.0,126919.0,127190.0
51,Flagstaff city,2014,68786.0,33678.0,35108.0,531705.0,51900.0,91250.0,124165.0,57160.0,23000.0,39960.0,15305.0,23730.0,105235.0,,,,,,,,,,,,,58488.0,7041.0,7700.0,58488.0,8287.0,3155.0,3299.0,4592.0,1001.0,3230.0,224.0,1196.0,9803.0,5034.0,4868.0,13799.0,67983.0,33071.0,34912.0,67983.0,33071.0,34912.0,67983.0,33071.0,34912.0,67983.0,33071.0,34912.0,67983.0,33071.0,34912.0,67983.0,33071.0,34912.0
52,Gilbert town,2014,239282.0,118543.0,120739.0,2853265.0,43815.0,97960.0,231460.0,360480.0,198990.0,535190.0,366120.0,500855.0,518390.0,,,,,,,,,,,,,238561.0,6968.0,9299.0,238561.0,8391.0,2388.0,5488.0,3339.0,6573.0,4993.0,3919.0,6802.0,40943.0,37897.0,29958.0,87870.0,239008.0,118358.0,120650.0,239008.0,118358.0,120650.0,239008.0,118358.0,120650.0,239008.0,118358.0,120650.0,239008.0,118358.0,120650.0,239008.0,118358.0,120650.0
53,Glendale city,2014,237529.0,112405.0,125124.0,2569020.0,38845.0,92290.0,192880.0,275270.0,182910.0,479825.0,288095.0,536475.0,482425.0,,,,,,,,,,,,,234380.0,19744.0,29590.0,234380.0,26809.0,9109.0,13416.0,14563.0,16022.0,11768.0,4463.0,4006.0,40033.0,30431.0,21836.0,41924.0,235566.0,111081.0,124485.0,235566.0,111081.0,124485.0,235566.0,111081.0,124485.0,235566.0,111081.0,124485.0,235566.0,111081.0,124485.0,235566.0,111081.0,124485.0
54,Goodyear city,2014,75676.0,37150.0,38526.0,878175.0,8525.0,42060.0,59665.0,117460.0,60475.0,101610.0,149930.0,132535.0,205915.0,,,,,,,,,,,,,72005.0,3975.0,4757.0,72005.0,3534.0,3079.0,2119.0,2355.0,1038.0,2453.0,830.0,347.0,14914.0,10501.0,10520.0,20315.0,72060.0,36689.0,35371.0,72060.0,36689.0,35371.0,72060.0,36689.0,35371.0,72060.0,36689.0,35371.0,72060.0,36689.0,35371.0,72060.0,36689.0,35371.0
55,Mesa city,2014,464682.0,230440.0,234242.0,4649360.0,94505.0,243420.0,499505.0,699640.0,353915.0,1143840.0,478630.0,600635.0,535270.0,4649360.0,4241195.0,3709160.0,532035.0,422195.0,109840.0,241935.0,204475.0,24945.0,12510.0,25035.0,141200.0,461953.0,33288.0,36621.0,461953.0,29678.0,20759.0,19472.0,25347.0,27921.0,23229.0,9918.0,14574.0,94313.0,66820.0,40621.0,89301.0,463111.0,229193.0,233918.0,463111.0,229193.0,233918.0,463111.0,229193.0,233918.0,463111.0,229193.0,233918.0,463111.0,229193.0,233918.0,463111.0,229193.0,233918.0
56,Peoria city,2014,166955.0,81937.0,85018.0,1997005.0,26000.0,70405.0,112850.0,293865.0,177295.0,312210.0,260040.0,384445.0,359895.0,1997005.0,1943650.0,1736940.0,206710.0,163575.0,43130.0,18615.0,18615.0,,,1285.0,33460.0,165418.0,6685.0,8457.0,165418.0,5230.0,2616.0,7296.0,4489.0,8187.0,5532.0,1734.0,3645.0,26670.0,26076.0,23277.0,50666.0,165843.0,81418.0,84425.0,165843.0,81418.0,84425.0,165843.0,81418.0,84425.0,165843.0,81418.0,84425.0,165843.0,81418.0,84425.0,165843.0,81418.0,84425.0
57,Phoenix city,2014,1537045.0,763915.0,773130.0,15727850.0,330690.0,882780.0,1595755.0,2228615.0,1311550.0,3528145.0,1599460.0,1993225.0,2257635.0,15727850.0,13961785.0,12019625.0,1942160.0,1431755.0,510405.0,1052910.0,1001480.0,34100.0,17330.0,159815.0,553340.0,1516728.0,168375.0,185317.0,1516728.0,161435.0,99433.0,92824.0,102881.0,74932.0,80162.0,30634.0,50660.0,232008.0,180534.0,120785.0,290440.0,1524639.0,753989.0,770650.0,1524639.0,753989.0,770650.0,1524639.0,753989.0,770650.0,1524639.0,753989.0,770650.0,1524639.0,753989.0,770650.0,1524639.0,753989.0,770650.0
58,San Tan Valley CDP,2014,94390.0,45883.0,48507.0,1240380.0,5375.0,19370.0,43915.0,62990.0,41300.0,167760.0,166670.0,331065.0,401935.0,,,,,,,,,,,,,93589.0,6977.0,5343.0,93589.0,6879.0,4216.0,1225.0,7961.0,2185.0,4213.0,3752.0,5639.0,20345.0,11300.0,8357.0,17517.0,94390.0,45883.0,48507.0,94390.0,45883.0,48507.0,94390.0,45883.0,48507.0,94390.0,45883.0,48507.0,94390.0,45883.0,48507.0,94390.0,45883.0,48507.0
59,Scottsdale city,2014,230502.0,110117.0,120385.0,2240170.0,73130.0,165015.0,289570.0,362745.0,203315.0,426025.0,300950.0,211810.0,207610.0,,,,,,,,,,,,,229041.0,9180.0,11672.0,229041.0,13359.0,3456.0,4037.0,6080.0,5593.0,7468.0,1137.0,4656.0,25980.0,25597.0,26032.0,105646.0,229486.0,109909.0,119577.0,229486.0,109909.0,119577.0,229486.0,109909.0,119577.0,229486.0,109909.0,119577.0,229486.0,109909.0,119577.0,229486.0,109909.0,119577.0
60,Surprise city,2014,126278.0,58527.0,67751.0,1413715.0,21550.0,54570.0,66800.0,99675.0,49520.0,191820.0,213620.0,367170.0,348985.0,1413715.0,1355470.0,1209835.0,145635.0,101245.0,44390.0,19425.0,19425.0,,,3590.0,35230.0,125917.0,5966.0,9451.0,125917.0,6929.0,1276.0,7212.0,3222.0,2763.0,5380.0,836.0,3834.0,28409.0,22225.0,15808.0,28023.0,125674.0,57994.0,67680.0,125674.0,57994.0,67680.0,125674.0,57994.0,67680.0,125674.0,57994.0,67680.0,125674.0,57994.0,67680.0,125674.0,57994.0,67680.0
61,Tempe city,2014,172836.0,94028.0,78808.0,2035275.0,51350.0,191305.0,213980.0,300445.0,288185.0,399240.0,226795.0,100080.0,263890.0,,,,,,,,,,,,,162085.0,19649.0,18134.0,162085.0,21181.0,7025.0,9577.0,7622.0,7324.0,8504.0,2513.0,4509.0,29630.0,21162.0,11520.0,31518.0,172428.0,93899.0,78529.0,172428.0,93899.0,78529.0,172428.0,93899.0,78529.0,172428.0,93899.0,78529.0,172428.0,93899.0,78529.0,172428.0,93899.0,78529.0
62,Tucson city,2014,527948.0,263671.0,264277.0,4996060.0,137530.0,339710.0,701120.0,758525.0,393505.0,1015540.0,425215.0,456790.0,768130.0,,,,,,,,,,,,,502570.0,57286.0,69949.0,502570.0,56950.0,32784.0,37501.0,36547.0,31689.0,31515.0,11742.0,15668.0,93141.0,58623.0,33887.0,62523.0,510525.0,248740.0,261785.0,510525.0,248740.0,261785.0,510525.0,248740.0,261785.0,510525.0,248740.0,261785.0,510525.0,248740.0,261785.0,510525.0,248740.0,261785.0
63,Yuma city,2014,93399.0,47677.0,45722.0,673585.0,37265.0,109305.0,125565.0,87605.0,51955.0,82590.0,37490.0,47715.0,94095.0,673585.0,621520.0,568580.0,52940.0,38190.0,14750.0,22995.0,22995.0,,,15745.0,13325.0,90300.0,7097.0,9369.0,90300.0,7638.0,3532.0,5296.0,5817.0,3810.0,8144.0,2002.0,2788.0,14766.0,15977.0,8944.0,11586.0,89280.0,44199.0,45081.0,89280.0,44199.0,45081.0,89280.0,44199.0,45081.0,89280.0,44199.0,45081.0,89280.0,44199.0,45081.0,89280.0,44199.0,45081.0
64,Avondale city,2015,80683.0,38712.0,41971.0,923665.0,12650.0,30855.0,82945.0,144040.0,76800.0,191250.0,97605.0,152825.0,134690.0,923665.0,895915.0,792400.0,103520.0,79080.0,24440.0,11615.0,11615.0,,,1705.0,14425.0,80096.0,5510.0,7461.0,80096.0,5508.0,3058.0,4405.0,4487.0,5404.0,4641.0,2750.0,903.0,15793.0,14272.0,7573.0,11302.0,80257.0,38363.0,41894.0,80257.0,38363.0,41894.0,80257.0,38363.0,41894.0,80257.0,38363.0,41894.0,80257.0,38363.0,41894.0,80257.0,38363.0,41894.0
65,Casas Adobes CDP,2015,65265.0,30890.0,34375.0,687330.0,20070.0,36735.0,63925.0,87400.0,77655.0,131530.0,76155.0,106370.0,87495.0,,,,,,,,,,,,,64456.0,1912.0,3217.0,64456.0,1212.0,2126.0,1791.0,2068.0,2839.0,2972.0,1204.0,2498.0,12557.0,11454.0,7719.0,16016.0,64455.0,30355.0,34100.0,64455.0,30355.0,34100.0,64455.0,30355.0,34100.0,64455.0,30355.0,34100.0,64455.0,30355.0,34100.0,64455.0,30355.0,34100.0
66,Chandler city,2015,260833.0,128885.0,131948.0,2986740.0,81555.0,190630.0,306990.0,436210.0,240155.0,474390.0,288875.0,450035.0,517905.0,,,,,,,,,,,,,260141.0,10521.0,13375.0,260141.0,12547.0,3284.0,8065.0,5730.0,8677.0,8776.0,2833.0,2635.0,39855.0,35243.0,36100.0,96396.0,260392.0,128535.0,131857.0,260392.0,128535.0,131857.0,260392.0,128535.0,131857.0,260392.0,128535.0,131857.0,260392.0,128535.0,131857.0,260392.0,128535.0,131857.0
67,Flagstaff city,2015,70317.0,33224.0,37093.0,567555.0,49850.0,103015.0,119255.0,44685.0,17050.0,43260.0,23960.0,19515.0,146965.0,567555.0,441305.0,380025.0,61280.0,32490.0,28790.0,17895.0,17895.0,,,63145.0,45210.0,58253.0,5942.0,6077.0,58253.0,7588.0,2189.0,2242.0,1373.0,4680.0,2446.0,961.0,453.0,9712.0,5758.0,4726.0,16125.0,69691.0,32741.0,36950.0,69691.0,32741.0,36950.0,69691.0,32741.0,36950.0,69691.0,32741.0,36950.0,69691.0,32741.0,36950.0,69691.0,32741.0,36950.0
68,Gilbert town,2015,247523.0,116711.0,130812.0,3236655.0,50740.0,112645.0,254860.0,303220.0,221070.0,535260.0,446240.0,639460.0,673155.0,,,,,,,,,,,,,246109.0,5715.0,9111.0,246109.0,5390.0,2877.0,6559.0,5748.0,4639.0,5670.0,1348.0,6921.0,39581.0,43746.0,32243.0,91387.0,247433.0,116666.0,130767.0,247433.0,116666.0,130767.0,247433.0,116666.0,130767.0,247433.0,116666.0,130767.0,247433.0,116666.0,130767.0,247433.0,116666.0,130767.0
69,Glendale city,2015,240114.0,116795.0,123319.0,2695385.0,45860.0,113795.0,209095.0,328910.0,185635.0,562820.0,334610.0,395685.0,518980.0,,,,,,,,,,,,,237865.0,24797.0,28801.0,237865.0,23520.0,11864.0,18214.0,12735.0,15159.0,13162.0,4855.0,5303.0,37640.0,37094.0,19214.0,39105.0,237887.0,115177.0,122710.0,237887.0,115177.0,122710.0,237887.0,115177.0,122710.0,237887.0,115177.0,122710.0,237887.0,115177.0,122710.0,237887.0,115177.0,122710.0
70,Goodyear city,2015,79003.0,36711.0,42292.0,959205.0,11545.0,24935.0,65195.0,136615.0,35775.0,140700.0,127310.0,175780.0,241350.0,,,,,,,,,,,,,75631.0,2912.0,3857.0,75631.0,2599.0,2329.0,1841.0,1507.0,3719.0,3207.0,965.0,1390.0,14204.0,10305.0,8562.0,25003.0,75483.0,35804.0,39679.0,75483.0,35804.0,39679.0,75483.0,35804.0,39679.0,75483.0,35804.0,39679.0,75483.0,35804.0,39679.0,75483.0,35804.0,39679.0
71,Mesa city,2015,471833.0,234998.0,236835.0,5240080.0,101525.0,278370.0,468255.0,707335.0,399965.0,962725.0,635385.0,810685.0,875835.0,5240080.0,4615465.0,3940970.0,674495.0,495340.0,179155.0,356370.0,337840.0,6920.0,11610.0,60900.0,207340.0,468829.0,38354.0,42093.0,468829.0,38275.0,17849.0,24323.0,24095.0,19613.0,22814.0,7421.0,13948.0,87813.0,65225.0,47125.0,100328.0,470483.0,234172.0,236311.0,470483.0,234172.0,236311.0,470483.0,234172.0,236311.0,470483.0,234172.0,236311.0,470483.0,234172.0,236311.0,470483.0,234172.0,236311.0
72,Peoria city,2015,171242.0,80139.0,91103.0,1971520.0,30535.0,84755.0,114535.0,223360.0,182330.0,372510.0,269970.0,337850.0,355675.0,1971520.0,1861865.0,1661460.0,200405.0,150580.0,49825.0,50155.0,50155.0,,,3275.0,56225.0,169037.0,4704.0,7135.0,169037.0,4478.0,1902.0,5459.0,7491.0,3458.0,9526.0,2926.0,4666.0,33886.0,28964.0,18228.0,48053.0,170182.0,79793.0,90389.0,170182.0,79793.0,90389.0,170182.0,79793.0,90389.0,170182.0,79793.0,90389.0,170182.0,79793.0,90389.0,170182.0,79793.0,90389.0
73,Phoenix city,2015,1563001.0,786833.0,776168.0,17631650.0,325360.0,816145.0,1615605.0,2395155.0,1290425.0,3580190.0,1703910.0,2356995.0,3547865.0,17631650.0,15519000.0,13026655.0,2492345.0,1838820.0,653525.0,1362720.0,1232715.0,112995.0,17010.0,176370.0,573565.0,1545360.0,158414.0,186041.0,1545360.0,165364.0,72181.0,106910.0,92414.0,87888.0,81467.0,30755.0,43834.0,261576.0,180402.0,121086.0,301483.0,1551625.0,777292.0,774333.0,1551625.0,777292.0,774333.0,1551625.0,777292.0,774333.0,1551625.0,777292.0,774333.0,1551625.0,777292.0,774333.0,1551625.0,777292.0,774333.0
74,San Tan Valley CDP,2015,82797.0,40429.0,42368.0,1134715.0,12975.0,22410.0,23670.0,40140.0,34030.0,139200.0,167735.0,354470.0,340085.0,,,,,,,,,,,,,82786.0,3838.0,5419.0,82786.0,3962.0,2011.0,3284.0,4732.0,2737.0,4848.0,325.0,2691.0,21883.0,16456.0,8374.0,11483.0,82704.0,40340.0,42364.0,82704.0,40340.0,42364.0,82704.0,40340.0,42364.0,82704.0,40340.0,42364.0,82704.0,40340.0,42364.0,82704.0,40340.0,42364.0
75,Scottsdale city,2015,236844.0,115712.0,121132.0,2440950.0,63090.0,170700.0,255700.0,343365.0,270120.0,555565.0,313700.0,254075.0,214635.0,,,,,,,,,,,,,235479.0,12125.0,13881.0,235479.0,14694.0,4539.0,6773.0,4467.0,3899.0,9250.0,2027.0,4703.0,23556.0,24440.0,24086.0,113045.0,235718.0,115217.0,120501.0,235718.0,115217.0,120501.0,235718.0,115217.0,120501.0,235718.0,115217.0,120501.0,235718.0,115217.0,120501.0,235718.0,115217.0,120501.0
76,Surprise city,2015,128442.0,62875.0,65567.0,1514560.0,17885.0,57560.0,107270.0,113760.0,72180.0,233340.0,199145.0,239870.0,473555.0,,,,,,,,,,,,,127842.0,4120.0,5183.0,127842.0,3281.0,2209.0,3813.0,4115.0,6211.0,9056.0,2432.0,2407.0,25693.0,24932.0,13654.0,30039.0,127916.0,62412.0,65504.0,127916.0,62412.0,65504.0,127916.0,62412.0,65504.0,127916.0,62412.0,65504.0,127916.0,62412.0,65504.0,127916.0,62412.0,65504.0
77,Tempe city,2015,175826.0,91350.0,84476.0,1886820.0,59790.0,165110.0,294570.0,302935.0,320600.0,267240.0,165840.0,105355.0,205385.0,1886820.0,1554110.0,1351090.0,203020.0,141900.0,61125.0,169640.0,142500.0,27140.0,,41880.0,121185.0,164740.0,17364.0,15527.0,164740.0,18371.0,6934.0,7586.0,7924.0,5664.0,7529.0,3497.0,4122.0,24312.0,25256.0,13784.0,39761.0,175443.0,91060.0,84383.0,175443.0,91060.0,84383.0,175443.0,91060.0,84383.0,175443.0,91060.0,84383.0,175443.0,91060.0,84383.0,175443.0,91060.0,84383.0
78,Tucson city,2015,531674.0,264893.0,266781.0,4879700.0,144320.0,369120.0,637725.0,721430.0,391150.0,952690.0,357195.0,489235.0,816835.0,4879700.0,4094310.0,3502665.0,591645.0,423785.0,167860.0,372165.0,359260.0,12905.0,,104895.0,308330.0,506576.0,60251.0,67375.0,506576.0,55865.0,33278.0,38483.0,27774.0,35275.0,31563.0,13120.0,17052.0,94427.0,58789.0,34219.0,66731.0,516253.0,252043.0,264210.0,516253.0,252043.0,264210.0,516253.0,252043.0,264210.0,516253.0,252043.0,264210.0,516253.0,252043.0,264210.0,516253.0,252043.0,264210.0
79,Yuma city,2015,94145.0,48298.0,45847.0,547130.0,47610.0,94480.0,113280.0,114835.0,21525.0,53130.0,29275.0,39505.0,33495.0,547130.0,507170.0,459120.0,48050.0,31910.0,16140.0,17615.0,17615.0,,,10345.0,12000.0,91176.0,7879.0,10411.0,91176.0,8411.0,5589.0,4290.0,5245.0,5969.0,6862.0,721.0,2778.0,18011.0,12223.0,6835.0,14242.0,90177.0,44793.0,45384.0,90177.0,44793.0,45384.0,90177.0,44793.0,45384.0,90177.0,44793.0,45384.0,90177.0,44793.0,45384.0,90177.0,44793.0,45384.0
80,Avondale city,2016,82875.0,41915.0,40960.0,1055530.0,8725.0,57325.0,61310.0,116400.0,38125.0,228750.0,113785.0,178240.0,252870.0,,,,,,,,,,,,,82578.0,5432.0,6473.0,82578.0,4778.0,2885.0,4242.0,3534.0,5462.0,4538.0,981.0,1093.0,20752.0,11381.0,8611.0,14321.0,82516.0,41680.0,40836.0,82516.0,41680.0,40836.0,82516.0,41680.0,40836.0,82516.0,41680.0,40836.0,82516.0,41680.0,40836.0,82516.0,41680.0,40836.0
81,Casas Adobes CDP,2016,70589.0,33958.0,36631.0,819955.0,14415.0,31295.0,89155.0,139190.0,84725.0,190245.0,70540.0,95480.0,104905.0,819955.0,760905.0,701565.0,59340.0,37325.0,22015.0,25470.0,25470.0,,,6320.0,27260.0,69785.0,3808.0,3440.0,69785.0,1838.0,2154.0,3256.0,2307.0,2065.0,2082.0,1601.0,1289.0,11537.0,10291.0,8152.0,23213.0,69628.0,33339.0,36289.0,69628.0,33339.0,36289.0,69628.0,33339.0,36289.0,69628.0,33339.0,36289.0,69628.0,33339.0,36289.0,69628.0,33339.0,36289.0
82,Chandler city,2016,247459.0,123184.0,124275.0,3021525.0,67460.0,170235.0,353450.0,378580.0,253390.0,531860.0,244040.0,475360.0,547145.0,,,,,,,,,,,,,246818.0,7779.0,9732.0,246818.0,7442.0,5724.0,4345.0,9094.0,6537.0,6995.0,3612.0,7897.0,39543.0,33632.0,29624.0,92373.0,247189.0,122955.0,124234.0,247189.0,122955.0,124234.0,247189.0,122955.0,124234.0,247189.0,122955.0,124234.0,247189.0,122955.0,124234.0,247189.0,122955.0,124234.0
83,Flagstaff city,2016,71455.0,35760.0,35695.0,464780.0,48155.0,83165.0,129065.0,63340.0,7150.0,38310.0,28185.0,41465.0,25945.0,,,,,,,,,,,,,58366.0,5740.0,4534.0,58366.0,6116.0,2461.0,1697.0,2828.0,2221.0,2282.0,1160.0,1430.0,10689.0,8354.0,5111.0,14017.0,70802.0,35340.0,35462.0,70802.0,35340.0,35462.0,70802.0,35340.0,35462.0,70802.0,35340.0,35462.0,70802.0,35340.0,35462.0,70802.0,35340.0,35462.0
