,City,Year,Total Population,Total Population Male,Total Population Female,Agg Travel to Wrk(min),Agg Travel to Wrk(min):Less than 10 min,Agg Travel to Wrk(min):10 to 14 min,Agg Travel to Wrk(min):15 to 19 min,Agg Travel to Wrk(min):20 to 24 min,Agg Travel to Wrk(min):25 to 29 min,Agg Travel to Wrk(min):30 to 34 min,Agg Travel to Wrk(min):35 to 44 min,Agg Travel to Wrk(min):45 to 59 min,Agg Travel to Wrk(min):60 or more min,Agg Travel to Wrk(min) Mode :Total,Agg Travel to Wrk(min) Mode :Car,Agg Travel to Wrk(min) Mode :Car alone,Agg Travel to Wrk(min) Mode :Car Carpool,Agg Travel to Wrk(min) Mode :Car Carpool 2P,Agg Travel to Wrk(min) Mode :Car Carpool 3P+,Agg Travel to Wrk(min) Mode :Pub Tran !=cab,Agg Travel to Wrk(min) Mode :Pub Tran !=cab Bus or trolley,"Agg Travel to Wrk(min) Mode :Pub Tran !=cab St/trolly car subway, elevated",Agg Travel to Wrk(min) Mode :Pub Tran !=cab RR ferry,Agg Travel to Wrk(min) Mode :Walked,"Agg Travel to Wrk(min) Mode :Taxicab, motor/bicycle, other",Pov Stat :Total,Pov Stat :Male,Pov Stat :Female,Income/Poverty level :Total,Income/Poverty level :Under .50,Income/Poverty level :.50 to .74,Income/Poverty level :.75 to .99,Income/Poverty level :1.00 to 1.24,Income/Poverty level :1.25 to 1.49,Income/Poverty level :1.50 to 1.74,Income/Poverty level :1.75 to 1.84,Income/Poverty level :1.85 to 1.99,Income/Poverty level :2.00 to 2.99,Income/Poverty level :3.00 to 3.99,Income/Poverty level :4.00 to 4.99,Income/Poverty level :5.00 and over,HI cover: TOTAL,HI cover: Male,HI cover: Female,Priv HI cover: Total,Priv HI cover: Male,Priv HI cover: Female,Pub HI cover: Total,Pub HI cover: Male,Pub HI cover: Female,Employer HI cover: Total,Employer HI cover: Male,Employer HI cover: Female,Direct HI cover: Total,Direct HI cover: Male,Direct HI cover: Female,Medicaid/Means-det Pub HI cover: Total,Medicaid/Means-det Pub HI cover: Male,Medicaid/Means-det Pub HI cover: Female
10,San Tan Valley CDP,2011,83217.0,44261.0,38956.0,1005080.0,5795.0,,16980.0,42720.0,47900.0,136920.0,119835.0,234355.0,400575.0,,,,,,,,,,,,,83217.0,6789.0,5414.0,83217.0,7086.0,213.0,4904.0,3854.0,4192.0,7399.0,2785.0,6676.0,16296.0,15610.0,6968.0,7234.0,82679.0,43723.0,38956.0,82679.0,43723.0,38956.0,82679.0,43723.0,38956.0,82679.0,43723.0,38956.0,,,,82679.0,43723.0,38956.0
11,Scottsdale city,2011,221007.0,103935.0,117072.0,2076010.0,60620.0,157175.0,271145.0,338580.0,198575.0,388320.0,288585.0,173275.0,199740.0,,,,,,,,,,,,,219993.0,8766.0,10824.0,219993.0,8115.0,5050.0,6425.0,8223.0,8477.0,5110.0,3880.0,6936.0,26089.0,28167.0,18610.0,94911.0,220323.0,103775.0,116548.0,220323.0,103775.0,116548.0,220323.0,103775.0,116548.0,220323.0,103775.0,116548.0,220323.0,103775.0,116548.0,220323.0,103775.0,116548.0
12,Surprise city,2011,119494.0,57023.0,62471.0,1110170.0,22185.0,52750.0,55920.0,61740.0,19350.0,198240.0,163715.0,240115.0,296155.0,,,,,,,,,,,,,118628.0,4849.0,7782.0,118628.0,5796.0,5185.0,1650.0,6880.0,6523.0,7655.0,1865.0,3702.0,25249.0,22596.0,13879.0,17648.0,118742.0,56331.0,62411.0,118742.0,56331.0,62411.0,118742.0,56331.0,62411.0,118742.0,56331.0,62411.0,118742.0,56331.0,62411.0,118742.0,56331.0,62411.0
13,Tempe city,2011,164264.0,82935.0,81329.0,1565300.0,51160.0,152305.0,217550.0,272610.0,110065.0,293970.0,135150.0,153815.0,178685.0,,,,,,,,,,,,,153531.0,15189.0,17381.0,153531.0,19343.0,7201.0,6026.0,8723.0,9201.0,6569.0,4351.0,3073.0,25209.0,17584.0,11606.0,34645.0,163955.0,82826.0,81129.0,163955.0,82826.0,81129.0,163955.0,82826.0,81129.0,163955.0,82826.0,81129.0,163955.0,82826.0,81129.0,163955.0,82826.0,81129.0
14,Tucson city,2011,525798.0,262747.0,263051.0,4749365.0,111140.0,377380.0,565330.0,796685.0,438475.0,887460.0,377480.0,411180.0,784240.0,4749365.0,4050975.0,3501820.0,549155.0,407005.0,142150.0,404450.0,404450.0,,,91755.0,202190.0,506585.0,64136.0,70412.0,506585.0,64095.0,35486.0,34967.0,33048.0,38708.0,25432.0,10180.0,13906.0,87001.0,58230.0,38938.0,66594.0,513534.0,252644.0,260890.0,513534.0,252644.0,260890.0,513534.0,252644.0,260890.0,513534.0,252644.0,260890.0,513534.0,252644.0,260890.0,513534.0,252644.0,260890.0
15,Yuma city,2011,94543.0,47399.0,47144.0,578860.0,39200.0,92075.0,110385.0,86940.0,32000.0,74970.0,7925.0,24910.0,110455.0,,,,,,,,,,,,,88631.0,6449.0,9082.0,88631.0,6689.0,3298.0,5544.0,5590.0,12033.0,5049.0,1245.0,681.0,20754.0,11544.0,3135.0,13069.0,88357.0,41877.0,46480.0,88357.0,41877.0,46480.0,88357.0,41877.0,46480.0,88357.0,41877.0,46480.0,88357.0,41877.0,46480.0,88357.0,41877.0,46480.0
16,Avondale city,2012,78274.0,37383.0,40891.0,904950.0,13610.0,64260.0,74575.0,81090.0,39135.0,212610.0,135690.0,117635.0,166345.0,904950.0,873175.0,658610.0,214565.0,132545.0,82020.0,3170.0,3170.0,,,4505.0,24100.0,77081.0,5803.0,8114.0,77081.0,8159.0,3741.0,2017.0,4507.0,4289.0,5267.0,1284.0,2374.0,14694.0,11029.0,7824.0,11896.0,77869.0,37067.0,40802.0,77869.0,37067.0,40802.0,77869.0,37067.0,40802.0,77869.0,37067.0,40802.0,77869.0,37067.0,40802.0,77869.0,37067.0,40802.0
17,Casas Adobes CDP,2012,71976.0,34718.0,37258.0,711710.0,21235.0,32365.0,74455.0,75685.0,52650.0,191185.0,102195.0,75025.0,86920.0,711710.0,654935.0,573160.0,81775.0,77195.0,4580.0,27795.0,27795.0,,,6835.0,22145.0,71006.0,3044.0,3623.0,71006.0,2435.0,3243.0,989.0,4572.0,2169.0,6000.0,2708.0,1020.0,14753.0,11457.0,7317.0,14343.0,70949.0,34182.0,36767.0,70949.0,34182.0,36767.0,70949.0,34182.0,36767.0,70949.0,34182.0,36767.0,70949.0,34182.0,36767.0,70949.0,34182.0,36767.0
18,Chandler city,2012,245642.0,122484.0,123158.0,2823345.0,72925.0,184620.0,303270.0,429365.0,171875.0,540930.0,261620.0,364625.0,494110.0,,,,,,,,,,,,,244825.0,10541.0,12221.0,244825.0,11081.0,5475.0,6206.0,8237.0,10808.0,11181.0,1611.0,5462.0,39805.0,36796.0,25342.0,82821.0,245439.0,122380.0,123059.0,245439.0,122380.0,123059.0,245439.0,122380.0,123059.0,245439.0,122380.0,123059.0,245439.0,122380.0,123059.0,245439.0,122380.0,123059.0
19,Flagstaff city,2012,67472.0,33773.0,33699.0,492730.0,49355.0,80440.0,140710.0,53640.0,4725.0,23100.0,24500.0,43765.0,72500.0,492730.0,360735.0,303815.0,56920.0,48085.0,8840.0,32520.0,32520.0,,,61455.0,38020.0,59540.0,7961.0,7646.0,59540.0,8808.0,2370.0,4429.0,1222.0,2367.0,3538.0,1588.0,1252.0,7263.0,8038.0,6009.0,12656.0,66884.0,33372.0,33512.0,66884.0,33372.0,33512.0,66884.0,33372.0,33512.0,66884.0,33372.0,33512.0,66884.0,33372.0,33512.0,66884.0,33372.0,33512.0
